link,qu0,qd0,h0
10524193,2.6086445e-05,2.6086445e-05,0.0047924984
10529433,0.6729126,0.6729126,1.4823456
10529435,3.544003e-36,3.544003e-36,0.0
10529437,0.0019911085,0.0019911085,0.19206929
10529453,0.0007098495,0.0007098495,0.018054198
10537638,5.4289547e-36,5.4289547e-36,0.0
10537646,5.5386458e-36,5.5386458e-36,0.0
10537836,7.546147e-34,7.546147e-34,0.0
10538658,2.815949e-35,2.815949e-35,0.0
10959414,1.1765262,1.1765262,0.6448006
10961488,6.2803917,6.2803917,3.1774771
10976615,5.1477923,5.1477923,0.842855
11235551,2.5074787,2.5074787,2.3397417
11236653,2.9799418,2.9799418,0.48514947
11561652,4.151749,4.151749,2.6994188
11561714,2.3052094,2.3052094,2.2484863
11561918,2.2544193e-33,2.2544193e-33,0.0
11563358,2.4099198e-35,2.4099198e-35,0.0
11563596,1.4479486e-33,1.4479486e-33,0.0
11563662,1.20370535e-35,1.20370535e-35,0.0
11563680,1.798197e-36,1.798197e-36,1.8626451e-09
11571384,0.3218709,0.3218709,1.209773
11572980,1.0538154,1.0538154,0.42213058
11574172,2.232519,2.232519,2.1394467
166739847,1.7587285,1.7587285,0.79869646
1970955,4.4667277,4.4667277,2.6074173
3349111,1.055337,1.055337,0.4812293
3350095,0.08218556,0.08218556,0.33091307
3350237,2.3225179,2.3225179,2.1678536
8671789,1.1770659e-33,1.1770659e-33,0.0
8673537,0.58915865,0.58915865,0.28246376
8677787,0.36928466,0.36928466,0.5722944
8679903,9.164915e-34,9.164915e-34,0.0
8693529,4.9181967,4.9181967,2.7036994
8695947,2.9514644,2.9514644,1.2071724
8712227,0.030108152,0.030108152,0.034658685
8726009,1.2059827e-33,1.2059827e-33,0.0
8742893,1.574376e-33,1.574376e-33,0.0
8744307,5.1779764e-34,5.1779764e-34,0.0
8745815,0.07026876,0.07026876,0.095217735
8758933,0.48309976,0.48309976,0.22819231
8760895,0.19870937,0.19870937,0.4486288
8762229,0.3281167,0.3281167,0.6538388
8777895,1.287486,1.287486,0.27781767
